Date/Time,OAT,OCCU,Solar,Lux,IAT,C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,DAT,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 06/01  13:35:00,25.098375,1,99915.45831,183.5060528,23.9903521,152.3149576,601.1094801,12.79579688,99993.62464,1.52E-02,575.5067538
 06/01  13:40:00,25.198375,1,96570.74122,188.6998238,24.00297033,154.0816743,604.6186302,12.69052776,99992.91026,1.59E-02,578.9297905
 06/01  13:45:00,25.298375,1,96569.99506,187.7020266,24.00346012,158.3956803,607.7789276,12.75115526,99992.19588,1.63E-02,582.0091903
 06/01  13:50:00,25.398375,1,96557.24055,186.6780511,24.00350576,163.0421196,610.6267146,12.74653175,99991.48149,1.67E-02,584.7824598
 06/01  13:55:00,25.498375,1,96531.65466,185.6268147,24.00353698,167.5138442,613.1838608,12.73735087,99990.76711,1.72E-02,587.2814907
 06/01  14:00:00,25.598375,1,96492.44032,184.547333,24.00355725,171.8234631,615.4734922,12.74467806,99990.05273,1.76E-02,589.5254744
 06/01  14:05:00,25.69004167,1,96438.82517,184.4161978,24.00356896,175.848906,617.5205348,12.75126972,99989.23629,1.81E-02,591.5347046
 06/01  14:10:00,25.78170833,1,96370.05992,184.2512306,24.00357724,179.7312845,619.3481072,12.75445289,99988.41985,1.85E-02,593.3310547
 06/01  14:15:00,25.873375,1,96285.4168,184.0506847,24.00356306,183.5019831,620.9763578,12.75708059,99987.60342,1.89E-02,594.9348124
 06/01  14:20:00,25.96504167,1,96184.18775,183.8129745,24.00354453,187.1891224,622.4225368,12.76321585,99986.78698,1.93E-02,596.3636582
 06/01  14:25:00,26.05670833,1,96065.68265,183.5366682,24.00353122,190.732772,623.7028343,12.76743759,99985.97054,1.97E-02,597.6327299
 06/01  14:30:00,26.148375,1,95929.22746,183.2204805,24.00351862,194.1320858,624.8325559,12.76983497,99985.1541,2.01E-02,598.756235
 06/01  14:35:00,26.24004167,1,94157.18444,178.6386343,24.00350427,196.8771612,625.8281675,12.77428676,99984.33767,2.04E-02,599.7476045
 06/01  14:40:00,26.33170833,1,92382.15035,174.0827291,24.00348965,199.2181514,626.7052739,12.77751418,99983.52123,2.07E-02,600.6212879
 06/01  14:45:00,26.423375,1,90604.64764,169.5549363,24.00347474,201.2467322,627.4775084,12.77994833,99982.70479,2.10E-02,601.3909789
 06/01  14:50:00,26.51504167,1,88825.20248,165.0573561,24.00345975,202.9905439,628.156669,12.78201752,99981.88835,2.12E-02,602.0686412
 06/01  14:55:00,26.60670833,1,87044.34306,160.592015,24.0034448,204.4676055,628.7531516,12.7838478,99981.07191,2.14E-02,602.6646279
 06/01  15:00:00,26.698375,1,85262.59793,156.1608632,24.00342996,205.691194,629.276277,12.78549832,99980.25548,2.17E-02,603.1880619
 06/01  15:05:00,26.698375,1,84642.58757,146.4584071,24.00341579,206.8430454,629.7385398,12.79291994,99980.25548,2.18E-02,603.6471224
 06/01  15:10:00,26.698375,1,82735.3377,143.8675781,24.00340087,207.5684291,630.1513721,12.79574575,99980.25548,2.18E-02,604.0527739
 06/01  15:15:00,26.698375,1,80832.58324,147.4518827,24.00338584,207.9758362,630.5234736,12.79747654,99980.25548,2.19E-02,604.4150484
 06/01  15:20:00,26.698375,1,78934.88936,151.2142909,24.0033705,208.1782807,630.8610726,12.79856546,99980.25548,2.19E-02,604.7415802
