Date/Time,C38130:Zone Outdoor Air Drybulb Temperature [C](TimeStep),OCCU,C38130:Zone Windows Total Transmitted Solar Radiation Energy [J](TimeStep),C38130:Daylighting Reference Point 1 Illuminance [lux](TimeStep),C38130:Zone Mean Air Temperature [C](TimeStep),C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Temperature [C](TimeStep),VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 07/29  02:00:00,16.598375,0,0,0,20.84133562,271.30485,420.000186,12.80010256,100031.3985,1.55E-02,420.000186
 07/29  02:05:00,16.64004167,0,0,0,20.8379123,269.625271,420.0001639,12.80010297,100031.1007,1.55E-02,420.0001639
 07/29  02:10:00,16.68170833,0,0,0,20.83375724,268.1630044,420.0001444,12.80010361,100030.8029,1.55E-02,420.0001444
 07/29  02:15:00,16.723375,0,0,0,20.829355,266.8235044,420.0001273,12.80010405,100030.5051,1.55E-02,420.0001272
 07/29  02:20:00,16.76504167,0,0,0,20.82511161,265.5247533,420.0001121,12.80010451,100030.2074,1.55E-02,420.0001121
 07/29  02:25:00,16.80670833,0,0,0,20.82116659,264.2280395,420.0000988,12.80010502,100029.9096,1.55E-02,420.0000988
 07/29  02:30:00,16.848375,0,0,0,20.81749789,262.9298365,420.0000871,12.80010553,100029.6118,1.55E-02,420.0000871
 07/29  02:35:00,16.89004167,0,0,0,20.81405252,261.6370485,420.0000767,12.80010599,100029.314,1.55E-02,420.0000767
 07/29  02:40:00,16.93170833,0,0,0,20.81080127,260.3539403,420.0000676,12.80010641,100029.0162,1.55E-02,420.0000676
 07/29  02:45:00,16.973375,0,0,0,20.80773697,259.0807025,420.0000596,12.80010678,100028.7184,1.55E-02,420.0000596
 07/29  02:50:00,17.01504167,0,0,0,20.80485898,257.8160258,420.0000525,12.80010713,100028.4207,1.55E-02,420.0000525
 07/29  02:55:00,17.05670833,0,0,0,20.80216463,256.558925,420.0000463,12.80010746,100028.1229,1.55E-02,420.0000463
